PsNo, DateTime, Cond, Order,FSQ,Condition,Block,Measure,Scenario,Scariness
103,30/11/2016 14:35,VCA,123,1,A,3,1,3,4
139,09/12/2016 13:31,VCA,123,1.055555556,A,3,1,3,0
32,29/11/2016 15:16,VCA,132,6.444444444,A,3,1,2,10
68,30/11/2016 12:18,VCA,132,5.777777778,A,3,1,2,9
104,30/11/2016 14:38,VCA,132,2.111111111,A,3,1,2,3
69,30/11/2016 11:21,VCA,213,1.5,A,3,1,3,5
105,30/11/2016 14:59,VCA,213,2.722222222,A,3,1,3,6
33,29/11/2016 14:22,VCA,231,5.944444444,A,3,1,1,6
34,29/11/2016 14:47,VCA,231,1.277777778,A,3,1,1,0
106,30/11/2016 14:59,VCA,231,1.055555556,A,3,1,1,0
35,29/11/2016 15:02,VCA,312,2.944444444,A,3,1,2,7
71,30/11/2016 12:27,VCA,312,1.611111111,A,3,1,2,4
107,30/11/2016 15:01,VCA,312,3.5,A,3,1,2,4
36,29/11/2016 14:11,VCA,321,3.5,A,3,1,1,6
72,30/11/2016 11:41,VCA,321,1,A,3,1,1,0
108,30/11/2016 14:56,VCA,321,2.555555556,A,3,1,1,1
37,29/11/2016 14:18,ACV,123,1.222222222,A,1,2,1,3
73,30/11/2016 12:11,ACV,123,4,A,1,2,1,2
109,09/12/2016 10:59,ACV,123,1.722222222,A,1,2,1,1
2,28/11/2016 11:27,ACV,132,2.666666667,A,1,2,1,0
38,29/11/2016 14:38,ACV,132,3.888888889,A,1,2,1,2
74,30/11/2016 12:53,ACV,132,5.666666667,A,1,2,1,3
110,09/12/2016 10:06,ACV,132,3.055555556,A,1,2,1,2
3,28/11/2016 10:44,ACV,213,2.055555556,A,1,2,2,4
39,29/11/2016 14:28,ACV,213,1.555555556,A,1,2,2,4
75,30/11/2016 14:12,ACV,213,5.666666667,A,1,2,2,6
111,09/12/2016 09:56,ACV,213,1.166666667,A,1,2,2,0
4,28/11/2016 11:22,ACV,231,1.611111111,A,1,2,2,2
40,29/11/2016 14:40,ACV,231,4.944444444,A,1,2,2,0
76,30/11/2016 11:51,ACV,231,1.611111111,A,1,2,2,6
112,09/12/2016 11:11,ACV,231,3.333333333,A,1,2,2,0
5,28/11/2016 10:25,ACV,312,4.944444444,A,1,2,3,5
6,28/11/2016 11:03,ACV,312,3.833333333,A,1,2,3,3
41,29/11/2016 14:33,ACV,312,1.944444444,A,1,2,3,4
77,30/11/2016 12:49,ACV,312,3.111111111,A,1,2,3,5
113,09/12/2016 09:02,ACV,312,6.388888889,A,1,2,3,9
42,29/11/2016 14:33,ACV,321,2.944444444,A,1,2,3,2
78,30/11/2016 14:03,ACV,321,2.166666667,A,1,2,3,5
114,09/12/2016 09:10,ACV,321,5.666666667,A,1,2,3,2
7,28/11/2016 10:45,AVC,123,2.722222222,A,1,2,1,3
43,29/11/2016 15:35,AVC,123,4.277777778,A,1,2,1,3
79,30/11/2016 12:58,AVC,123,3.944444444,A,1,2,1,3
115,09/12/2016 09:59,AVC,123,1,A,1,2,1,0
8,28/11/2016 10:51,AVC,132,2.777777778,A,1,2,1,2
44,29/11/2016 14:37,AVC,132,4.777777778,A,1,2,1,5
80,30/11/2016 12:45,AVC,132,4.888888889,A,1,2,1,7
116,09/12/2016 12:44,AVC,132,3.611111111,A,1,2,1,3
9,28/11/2016 10:50,AVC,213,2.222222222,A,1,2,2,1
45,29/11/2016 14:56,AVC,213,1.055555556,A,1,2,2,2
81,30/11/2016 12:56,AVC,213,4,A,1,2,2,6
117,09/12/2016 10:55,AVC,213,3.555555556,A,1,2,2,6
10,28/11/2016 11:31,AVC,231,2.222222222,A,1,2,2,2
82,30/11/2016 12:58,AVC,231,1.055555556,A,1,2,2,0
118,09/12/2016 10:45,AVC,231,2.388888889,A,1,2,2,1
11,28/11/2016 11:29,AVC,312,2.722222222,A,1,2,3,2
47,29/11/2016 14:56,AVC,312,5.055555556,A,1,2,3,8
83,30/11/2016 12:57,AVC,312,4.333333333,A,1,2,3,8
119,09/12/2016 11:56,AVC,312,1.166666667,A,1,2,3,1
12,28/11/2016 15:41,AVC,321,2.444444444,A,1,2,3,3
48,29/11/2016 15:00,AVC,321,1.277777778,A,1,2,3,0
84,30/11/2016 12:51,AVC,321,2.055555556,A,1,2,3,2
120,09/12/2016 09:52,AVC,321,2.555555556,A,1,2,3,6
49,29/11/2016 15:13,CAV,123,2.055555556,A,2,2,2,2
85,30/11/2016 13:12,CAV,123,1.333333333,A,2,2,2,1
121,09/12/2016 10:02,CAV,123,4.666666667,A,2,2,2,6
14,29/11/2016 10:01,CAV,132,2.833333333,A,2,2,3,0
50,29/11/2016 14:59,CAV,132,4.611111111,A,2,2,3,8
86,30/11/2016 13:24,CAV,132,5.222222222,A,2,2,3,6
122,09/12/2016 10:44,CAV,132,2.5,A,2,2,3,2
15,29/11/2016 10:49,CAV,213,2.277777778,A,2,2,1,0
51,29/11/2016 15:05,CAV,213,1.611111111,A,2,2,1,0
87,30/11/2016 13:08,CAV,213,3.666666667,A,2,2,1,0
123,09/12/2016 11:52,CAV,213,2.444444444,A,2,2,1,1
16,29/11/2016 09:54,CAV,231,1.055555556,A,2,2,3,0
52,29/11/2016 14:59,CAV,231,4,A,2,2,3,2
88,30/11/2016 13:16,CAV,231,4.444444444,A,2,2,3,6
124,09/12/2016 11:45,CAV,231,4,A,2,2,3,4
17,29/11/2016 10:11,CAV,312,1.333333333,A,2,2,1,0
53,30/11/2016 10:19,CAV,312,4.277777778,A,2,2,1,3
89,30/11/2016 13:20,CAV,312,3.055555556,A,2,2,1,5
125,09/12/2016 14:24,CAV,312,2,A,2,2,1,4
18,29/11/2016 10:57,CAV,321,4.111111111,A,2,2,2,8
54,30/11/2016 10:28,CAV,321,3.722222222,A,2,2,2,2
90,30/11/2016 13:28,CAV,321,5.888888889,A,2,2,2,10
126,09/12/2016 13:31,CAV,321,2.888888889,A,2,2,2,5
19,29/11/2016 10:13,CVA,123,1,A,3,2,3,6
55,30/11/2016 10:47,CVA,123,2.882352941,A,3,2,3,6
91,30/11/2016 13:37,CVA,123,5.722222222,A,3,2,3,6
127,09/12/2016 12:41,CVA,123,5.944444444,A,3,2,3,10
